"pathway","pval","padj","log2err","ES","NES","size"
"GO:0030198",0.371710526315789,0.82351337598139,0.128142916898415,-0.343137177748025,-1.05820320329117,28
"GO:0030234",0.994277539341917,1,0.0302754424728262,0.166191124926685,0.452366838899198,25
"GO:0030239",0.00360201231683827,0.0917083770826759,0.431707695803346,-0.700228622416611,-1.88363571106646,15
"GO:0030246",0.163498098859316,0.607062385579496,0.118815039412263,0.371140673081515,1.20882054576076,71
"GO:0030261",8.9654149495639e-05,0.0052166916659861,0.538434096309916,0.610424090900376,1.90340480793963,53
"GO:0030286",0.825949367088608,1,0.0768736734126542,-0.252586756119824,-0.749281335476837,24
"GO:0030295",0.147208121827411,0.590304568527919,0.184706471207739,-0.547113896386185,-1.36069004895509,12
"GO:0030307",0.433774834437086,0.863908284763499,0.11776578836269,-0.318417954022255,-0.997008182369282,30
"GO:0030308",0.315245478036176,0.769073512055303,0.122679189568808,-0.412633528156864,-1.08675976875025,14
"GO:0030317",0.517191977077364,0.909622731614136,0.0607719451853533,0.359986806474593,0.989066314135974,27
"GO:0030335",0.0372940352726358,0.326472219462459,0.321775918075361,-0.546124596463623,-1.54335893451615,19
"GO:0030381",0.889438943894389,1,0.0422468188360053,0.289802139253459,0.652586248075184,11
"GO:0030414",0.01860971565873,0.237354901008634,0.352487857583619,0.653320018374061,1.5464444338235,14
"GO:0030422",0.733990147783251,1,0.0508054139066364,0.341924812877281,0.796081890846911,13
"GO:0030424",0.207547169811321,0.675101265822785,0.248911114434702,-0.267040063110109,-1.12796537258963,137
"GO:0030425",0.861858190709046,1,0.0295645497308931,0.233351241379324,0.796029607279737,98
"GO:0030426",0.32994923857868,0.786387189717984,0.118287526124085,-0.446519772061182,-1.11050919108164,12
"GO:0030431",0.998701298701299,1,0.0250603987343648,0.159231216284163,0.502924047295945,56
"GO:0030488",0.275757575757576,0.734997136077244,0.144630528034484,-0.408321696212545,-1.16726852204108,20
"GO:0030490",0.62779552715655,0.990286796942566,0.0567672387487446,0.368378177703251,0.885884727770188,15
"GO:0030496",0.830508474576271,1,0.0802023444698144,-0.234298281179313,-0.745519859031935,32
"GO:0030497",0.744460856720827,1,0.0453152441270267,0.305327722726692,0.803375892316242,22
"GO:0030513",0.498461538461538,0.902881809548476,0.103958471559957,-0.326413747657333,-0.944933920768644,21
"GO:0030514",0.657708628005658,1,0.0489954089862481,0.305263998965944,0.881636158506304,37
"GO:0030515",0.413705583756345,0.854695249415912,0.103576326612592,-0.410885709909358,-1.02188611991839,12
"GO:0030527",4.65235694608811e-06,0.000392756870606596,0.610526878385931,0.644340593419782,2.03439815806069,57
"GO:0030532",0.993399339933993,1,0.0696133438850965,-0.177310640308136,-0.527069416486741,25
"GO:0030533",0.0193798448185461,0.239117469914984,0.352487857583619,0.713057155445794,1.60568619311867,11
"GO:0030536",0.894444444444444,1,0.0662842187012672,-0.236662332958832,-0.66997636470635,18
"GO:0030544",0.375,0.825312395589709,0.0819778796501272,0.445039330622227,1.0886636941343,16
"GO:0030589",0.286821705426357,0.737278870999801,0.129442887745046,-0.485515204904559,-1.15287911552789,10
"GO:0030672",0.907780979827089,1,0.0673623868166279,-0.234070908776357,-0.661489027796184,19
"GO:0030674",0.997275204359673,1,0.0276588991389961,0.159937115953438,0.476195556130717,42
"GO:0030687",0.515957446808511,0.909622731614136,0.0931454575337804,-0.343192868719611,-0.923198970462802,15
"GO:0030707",0.0321428513995055,0.303277256734158,0.321775918075361,-0.382190287842969,-1.44612984967137,75
"GO:0030713",0.36963696369637,0.823234950855632,0.0850427463764322,0.491120686189218,1.10592215356984,11
"GO:0030716",0.260726072607261,0.731126958849731,0.105520936843198,0.529888651293094,1.19322116715828,11
"GO:0030717",0.996710526315789,1,0.0692836467392548,-0.144409437711268,-0.445345300600907,28
"GO:0030718",0.0432256521448982,0.341546532218801,0.321775918075361,-0.425111518059225,-1.4300063918607,39
"GO:0030720",0.736585365853659,1,0.0501934252649434,0.340008444404921,0.804818697598709,14
"GO:0030723",0.102209944751381,0.539821087371895,0.234392647294686,-0.511686973096535,-1.41195865519721,17
"GO:0030727",0.0146416322334342,0.206010334231829,0.380730400722792,-0.669776442080308,-1.66575578829738,12
"GO:0030833",0.486754966887417,0.895361200558965,0.110122263835536,-0.321916431086321,-0.965588616290223,26
"GO:0030838",0.188829787234043,0.652765040352164,0.165656695205483,-0.474387033774919,-1.276115155935,15
